supplier_name,region,total_orders,pct_delayed,avg_delay_days,on_time_rate_pct
Supplier 041,North America,1975,80.1,6.2,15.7
Supplier 054,Asia Pacific,1963,78.7,6.5,15.4
Supplier 034,Asia Pacific,2007,78.6,6.2,16.0
Supplier 028,Middle East & Africa,2033,68.7,4.4,26.2
Supplier 046,Middle East & Africa,2000,67.9,4.3,26.8
Supplier 009,Europe,1959,67.0,4.1,28.1
Supplier 023,North America,1929,66.5,4.0,28.4
Supplier 052,North America,2013,66.2,4.0,28.9
Supplier 003,Latin America,1963,65.0,3.8,30.2
Supplier 018,North America,1934,64.3,3.8,31.1
Supplier 032,Europe,1941,61.2,3.5,33.5
Supplier 024,Middle East & Africa,2032,56.9,3.1,38.0
Supplier 025,Latin America,1966,56.6,3.1,38.9
Supplier 005,Asia Pacific,2084,56.0,2.9,39.3
Supplier 013,Latin America,1978,55.1,3.0,39.9
Supplier 012,Middle East & Africa,1999,53.1,2.8,42.2
Supplier 048,Middle East & Africa,1967,53.0,2.7,41.7
Supplier 035,Middle East & Africa,2037,46.2,2.2,49.1
Supplier 022,Europe,1966,46.1,2.2,49.2
Supplier 047,Asia Pacific,2118,45.3,2.2,49.2
