month,avg_stock_level,avg_reorder_point,stockout_rate_pct
2024-01,94.0,67.0,1.76
2024-02,45.0,67.0,16.68
2024-03,26.0,67.0,35.57
2024-04,16.0,67.0,48.74
2024-05,10.0,67.0,59.11
2024-06,8.0,67.0,64.36
2024-07,5.0,67.0,70.32
2024-08,4.0,67.0,73.98
2024-09,3.0,67.0,76.35
2024-10,2.0,67.0,77.64
2024-11,2.0,67.0,77.8
2024-12,2.0,67.0,80.71
2025-01,2.0,67.0,80.59
2025-02,1.0,67.0,82.66
2025-03,1.0,67.0,82.49
2025-04,1.0,67.0,83.82
2025-05,1.0,67.0,83.02
2025-06,1.0,67.0,83.33
2025-07,1.0,67.0,83.44
2025-08,1.0,67.0,81.58
2025-09,1.0,67.0,82.42
2025-10,1.0,67.0,83.59
2025-11,1.0,67.0,83.91
2025-12,1.0,67.0,83.38
2026-01,1.0,67.0,83.16
